scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC018_20210626_hr05,FAC018,2021-06-26 04:00:00,facility_z_h0_FAC018_20210626_hr05.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,2.54491,0.002975215872331249
FAC018_20210628_hr22,FAC018,2021-06-28 21:00:00,facility_z_h0_FAC018_20210628_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,3.45521,0.002280740133707138
FAC018_20210701_hr16,FAC018,2021-07-01 15:00:00,facility_z_h0_FAC018_20210701_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.62331,0.0009065067931852491
FAC018_20210702_hr18,FAC018,2021-07-02 17:00:00,facility_z_h0_FAC018_20210702_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.2834,0.0007250795773129178
FAC018_20210703_hr12,FAC018,2021-07-03 11:00:00,facility_z_h0_FAC018_20210703_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.96894,0.0004853983178779384
FAC018_20210706_hr16,FAC018,2021-07-06 15:00:00,facility_z_h0_FAC018_20210706_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.69994,0.0009016316583998277
FAC018_20210709_hr17,FAC018,2021-07-09 16:00:00,facility_z_h0_FAC018_20210709_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,2.27684,0.001330075479836101
FAC018_20210711_hr13,FAC018,2021-07-11 12:00:00,facility_z_h0_FAC018_20210711_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.05464,0.0007916044856588311
FAC018_20210711_hr14,FAC018,2021-07-11 13:00:00,facility_z_h0_FAC018_20210711_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.61278,0.0006709281863273668
FAC018_20210712_hr14,FAC018,2021-07-12 13:00:00,facility_z_h0_FAC018_20210712_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.68473,0.0009030058227302136
FAC018_20210712_hr22,FAC018,2021-07-12 21:00:00,facility_z_h0_FAC018_20210712_hr22.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.35565,0.0011422406728488243
FAC018_20210713_hr18,FAC018,2021-07-13 17:00:00,facility_z_h0_FAC018_20210713_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.47775,0.0006710756954927756
FAC018_20210716_hr06,FAC018,2021-07-16 05:00:00,facility_z_h0_FAC018_20210716_hr06.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,4.45516,0.0015918304938537845
FAC018_20210718_hr15,FAC018,2021-07-18 14:00:00,facility_z_h0_FAC018_20210718_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.36255,0.0008421117101574295
FAC018_20210722_hr13,FAC018,2021-07-22 12:00:00,facility_z_h0_FAC018_20210722_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.93894,0.0009540224282941558
FAC018_20210725_hr12,FAC018,2021-07-25 11:00:00,facility_z_h0_FAC018_20210725_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,3e-05,1.19079,0.0013171192581410394
FAC018_20210726_hr13,FAC018,2021-07-26 12:00:00,facility_z_h0_FAC018_20210726_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.85782,0.000667595428078499
FAC018_20210728_hr16,FAC018,2021-07-28 15:00:00,facility_z_h0_FAC018_20210728_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.46716,0.0005977153331895623
FAC018_20210729_hr13,FAC018,2021-07-29 12:00:00,facility_z_h0_FAC018_20210729_hr13.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,1.10445,0.0010264658184170798
FAC018_20210730_hr17,FAC018,2021-07-30 16:00:00,facility_z_h0_FAC018_20210730_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC018_20210731_hr01,FAC018,2021-07-31 00:00:00,facility_z_h0_FAC018_20210731_hr01.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,2e-05,3.02193,0.0032091032995471207
FAC018_20210731_hr24,FAC018,2021-07-31 23:00:00,facility_z_h0_FAC018_20210731_hr24.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,1e-05,3.07602,0.0017486659478110848
FAC018_20210801_hr15,FAC018,2021-08-01 14:00:00,facility_z_h0_FAC018_20210801_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,1.78857,0.0007265852922147941
