run1_srcid,sector,input_file,source_file,source_member,aermod_srcid,facility_id,facility_name,region_cd,erptype,unit_id,rel_point_id,process_id,scc,poll,longitude,latitude,utm_e_m,utm_n_m,src_elev_m,ann_value,emis_gps,so2_ann_value_total,so2_emis_gps_total,so2_allocation_fraction,allocation_basis,stkhgt,stkhgt_m,stkdiam,stkdiam_m,stktemp,stktemp_k,stkvel,stkvel_mps,srcgroup,rank
Q0000088,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_109854013_113246512_155476814,4835311,GALVESTON BAY REFINERY,48167,3,109854013,113246512,155476814,39999999,SO2,-94.929167,29.368889000000003,312751.80180039356,3250402.8636227273,0.0,14.280332037595137,0.4107971621841519,645.6491,18.573154836210488,0.022117791285692395,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,22.3,6.797040000000001,FAC001,1
Q0000108,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_112862613_116144812_159760614,4835311,GALVESTON BAY REFINERY,48167,2,112862613,116144812,159760614,20200102,SO2,-94.932525,29.376931,312440.55521065654,3251299.552820506,0.0,0.11542993563875976,0.003320531334052036,645.6491,18.573154836210488,0.0001787812228635644,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,6.0,1.8288,0.3,0.09144,509.0,538.15,19.0,5.7912,FAC001,1
Q0000160,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_122832313_30365212_174858014,4835311,GALVESTON BAY REFINERY,48167,2,122832313,30365212,174858014,30600402,SO2,-94.923175,29.372611,313340.30334353144,3250805.7791623035,0.0,17.574207701001175,0.5055508956094225,645.6491,18.573154836210488,0.027219441180977678,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,25.0,7.62,8.0,2.4384,238.19000000000003,387.7,36.0,10.9728,FAC001,1
Q0000161,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_122832413_124996912_174858114,4835311,GALVESTON BAY REFINERY,48167,3,122832413,124996912,174858114,30600508,SO2,-94.925786,29.377719,313096.1721500504,3251376.0780153465,0.0,0.004122497701384278,0.00011859040478757272,645.6491,18.573154836210488,6.385043673698729e-06,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000162,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_122832713_124996512_174858414,4835311,GALVESTON BAY REFINERY,48167,2,122832713,124996512,174858414,40301107,SO2,-94.931244,29.377733000000003,312566.37640351744,3251386.381342074,0.0,0.04534747471522705,0.0013044944526632999,645.6491,18.573154836210488,7.023548041068601e-05,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,40.0,12.192,39.9,12.16152,75.0,297.0388888888889,0.1,0.03048,FAC001,1
Q0000213,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_126385113_128026812_181596214,4835311,GALVESTON BAY REFINERY,48167,2,126385113,128026812,181596214,40301107,SO2,-94.933814,29.3748,312311.5159086853,3251065.444561001,0.0,1.4676091816928027,0.04221818410437588,645.6491,18.573154836210488,0.002273075547836747,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,42.0,12.8016,41.9,12.77112,75.0,297.0388888888889,0.1,0.03048,FAC001,1
Q0000214,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_126385213_128026912_181596314,4835311,GALVESTON BAY REFINERY,48167,3,126385213,128026912,181596314,40301005,SO2,-94.932353,29.377571999999997,312458.4276337888,3251370.318885875,0.0,1.7314490345813967,0.04980797001078054,645.6491,18.573154836210488,0.002681718342953466,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000293,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_127698313_129685612_183771014,4835311,GALVESTON BAY REFINERY,48167,2,127698313,129685612,183771014,40301199,SO2,-94.929283,29.373611,312749.1867886912,3250926.3908665967,0.0,6.7732637233743676,0.19484403506598197,645.6491,18.573154836210488,0.01049062675588701,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,48.0,14.630400000000002,47.9,14.59992,75.0,297.0388888888889,0.1,0.03048,FAC001,1
Q0000294,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_127698513_129685812_183771214,4835311,GALVESTON BAY REFINERY,48167,3,127698513,129685812,183771214,40301015,SO2,-94.934914,29.370371999999996,312196.6009079566,3250576.4556127866,0.0,5.9570091785002806,0.17136313491804256,645.6491,18.573154836210488,0.009226388108494661,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,1.0,0.3048,0.1,0.03048,30.0,272.0388888888889,0.1,0.03048,FAC001,1
Q0000349,nonegu,run1_top20_facility_srcgroup_members_2021.csv,ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,2021hb_cb6_21k/inputs/ptnonipm/nonegu_norailyard_2021_POINT_20240502_17may2024_v0.csv,y2024v0csv_4835311_134037113_139075112_196160914,4835311,GALVESTON BAY REFINERY,48167,2,134037113,139075112,196160914,20200102,SO2,-94.923439,29.372025,313313.6051819833,3250741.2547712987,0.0,0.07008246092353271,0.002016036881388736,645.6491,18.573154836210488,0.00010854574245287838,fixed benzene facility-z/h0 source geometry; facility-total point-ready SO2 allocated by existing geometry weights,7.0,2.1336,2.0,0.6096,538.0,554.2611111111111,88.0,26.8224,FAC001,1
