scenario_id,srcgroup,datetime,post_file,rows,receptor_count,columns,uses_edf_observations,phi_min,phi_max,phi_mean
FAC005_20210101_hr12,FAC005,2021-01-01 11:00:00,facility_z_h0_FAC005_20210101_hr12.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.04822,0.00014640888505499245
FAC005_20210102_hr20,FAC005,2021-01-02 19:00:00,facility_z_h0_FAC005_20210102_hr20.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.30792,0.0005733090360146647
FAC005_20210104_hr02,FAC005,2021-01-04 01:00:00,facility_z_h0_FAC005_20210104_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.39096,0.0004328652145783913
FAC005_20210104_hr11,FAC005,2021-01-04 10:00:00,facility_z_h0_FAC005_20210104_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.06596,0.0001015941341384516
FAC005_20210105_hr09,FAC005,2021-01-05 08:00:00,facility_z_h0_FAC005_20210105_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0836,9.543843001940908e-05
FAC005_20210107_hr16,FAC005,2021-01-07 15:00:00,facility_z_h0_FAC005_20210107_hr16.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.02474,0.0001059460858313565
FAC005_20210114_hr09,FAC005,2021-01-14 08:00:00,facility_z_h0_FAC005_20210114_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.04554,0.00011238300625404356
FAC005_20210114_hr14,FAC005,2021-01-14 13:00:00,facility_z_h0_FAC005_20210114_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.06767,0.0001089808065559629
FAC005_20210116_hr18,FAC005,2021-01-16 17:00:00,facility_z_h0_FAC005_20210116_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.46737,0.0007698533534612897
FAC005_20210116_hr21,FAC005,2021-01-16 20:00:00,facility_z_h0_FAC005_20210116_hr21.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.22148,0.0009334298037524261
FAC005_20210117_hr03,FAC005,2021-01-17 02:00:00,facility_z_h0_FAC005_20210117_hr03.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.22932,0.0004177662281647617
FAC005_20210121_hr10,FAC005,2021-01-21 09:00:00,facility_z_h0_FAC005_20210121_hr10.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.05549,0.00015774078067716196
FAC005_20210122_hr15,FAC005,2021-01-22 14:00:00,facility_z_h0_FAC005_20210122_hr15.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.20236,0.00017907957731291783
FAC005_20210122_hr17,FAC005,2021-01-22 16:00:00,facility_z_h0_FAC005_20210122_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.07458,0.00018372094026310114
FAC005_20210130_hr23,FAC005,2021-01-30 22:00:00,facility_z_h0_FAC005_20210130_hr23.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.09111,0.0002109622600819495
FAC005_20210201_hr05,FAC005,2021-02-01 04:00:00,facility_z_h0_FAC005_20210201_hr05.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0547,0.0002704153547552297
FAC005_20210201_hr18,FAC005,2021-02-01 17:00:00,facility_z_h0_FAC005_20210201_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.06836,0.0001969730429156782
FAC005_20210202_hr17,FAC005,2021-02-02 16:00:00,facility_z_h0_FAC005_20210202_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.07475,0.0001031205520810869
FAC005_20210204_hr17,FAC005,2021-02-04 16:00:00,facility_z_h0_FAC005_20210204_hr17.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.04754,9.667371145136942e-05
FAC005_20210206_hr14,FAC005,2021-02-06 13:00:00,facility_z_h0_FAC005_20210206_hr14.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.08174,0.0001596014664653871
FAC005_20210209_hr02,FAC005,2021-02-09 01:00:00,facility_z_h0_FAC005_20210209_hr02.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.35628,0.00035311106318740564
FAC005_20210211_hr18,FAC005,2021-02-11 17:00:00,facility_z_h0_FAC005_20210211_hr18.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.04251,0.00019194392926461074
FAC005_20210213_hr09,FAC005,2021-02-13 08:00:00,facility_z_h0_FAC005_20210213_hr09.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.0,0.0
FAC005_20210215_hr11,FAC005,2021-02-15 10:00:00,facility_z_h0_FAC005_20210215_hr11.post,23185,23185,"t,x,y,z,cx,cy,h0,d,Q,u,v,kappa,phi",False,0.0,0.03075,9.821522536122493e-05
