srcgroup,facility_id,allocated_so2_tpy,allocated_so2_gps,fixed_geometry_sources,extracted_point_ready_rows
FAC001,4835311,645.6491,18.573154836210488,125,105
FAC002,4941411,78.3065,2.2526148478821026,19,43
FAC003,5632711,12.5088,0.35983613887975646,22,127
FAC004,4058611,2.1184,0.0609392488970066,13,7
FAC005,6422011,0.21010000000000004,0.006043870937151193,22,21
FAC006,4924411,1484.3762,42.70051487376928,200,157
FAC007,6671511,4.7466,0.1365437305582192,13,18
FAC008,4168511,297.66040000000004,8.562689389342212,152,80
FAC009,4055911,0.0148,0.00042574626306443434,1,1
FAC010,3930711,0.3801999999999998,0.01093707629845256,26,16
FAC011,4056511,21.837800000000005,0.6282001178073313,69,63
FAC012,4056411,20.413600000000002,0.5872306699791985,31,65
FAC013,4925111,18.9393,0.5448200135173136,53,75
FAC014,6421811,7.0497,0.20279617775171233,32,31
FAC015,5019011,19.853,0.5711040919336631,16,41
FAC016,3737711,0.19140000000000001,0.0055059347804414,31,17
FAC017,6421511,0.10779999999999999,0.003101043726915272,9,4
FAC018,16872411,0.1905,0.00548004480498478,24,7
FAC019,4762811,544.3497,15.659111525354453,123,46
FAC020,5018711,172.5552,4.963833214347033,63,57
